  0 15 28 Tillamook Country Q-Sort_Jan 14                                     
 -4  4  0  0  2  3  3  4  4  4  3  3  2  0  0  0  0  0  0  0  0  0
1A         0 3-1 1 3 4 0-1 4-1 3-2-3 0-3-3-2 1-4 0 2 2-1 1-4 1-2 2
2A        -1-1-1-1 0 2 0 4-2-4 0 3 1 4 1 1 1 2 2-3 3-2-2-4-3 3-3 0
3A         1 1 1 0-4 2 2-2 2-2 0 3-1 3 0 1 3 4-1 4 0-3-4-3-3-1-1-2
4A         0-2 1-3-1-1-1-4-2-4-3 3 2 2 0 2 1 4 3 4 3 0 1 0-2-1 1-3
5A         0 0 0 0 1 3 1 1 1-3-1 2-1 2-2 4-1 3 4 3-2-1-4-4-3 2-2-3
6A         2 2 1 2 3 4 1 1-1-1 0 3-3 0-2-3-2 4-2-1-3-4-4 3-1 0 0 1
7A         4 1-1-3-2 2 1-3 0-4-2 1 0 1 2 3-3 0 4 3-4-1 0 2-1-1-2 3
8A         1 3 0 2 0-3 4-3 3-4 1-1 2-1 2-3-4-2 0-1 1 4 0 3-2-2-1 1
9A         0 2 0-4 1-2-1-2 0-2-1 3 2 1-4-1 1 4 3 4 2 3-1 1-3-3 0-3
10A        2 2 4 3-1-3-1 0-1 0-3 2-4-2 3-4-2 1-2 1 0 1 1 3 0-3-1 4
11A       -1 2-1 1 1 4-1 0 4 3-3 2 0 2 0 1-2 3 0 3 1-3-4-1-4-2-3-2
12A        0 4 0 0 1 2 3-4 1 4-1-2-3 3-3 2-4 2-1-1-2 3-1-2 1 0 1-3
13A       -4 1-2-4-1-3 2 3-3 3-1 0 0 4-2 2 0-3-2 1 4 1 1 0 3-1-1 2
14A        3 4-4-4 3 2 0 0 1 4 0-1-2-3-2-1-3 2-1 2-2 1-1 3 1 1-3 0
15A        2 1 0-1-1-3-4 1 2-3 3 3 1 3 2 0 0 4 1 4-2-2-1-2-4-1-3 0
